user_id,asset_id,avail,frozen,version
1,1,8706909000,967691100,79
1,2,947315930,80338236,95
2,1,8573390900,712713200,84
2,2,1029385472,31277862,109
3,1,9651054500,590738200,86
3,2,894705561,84777320,97
4,1,8648834500,842852000,92
4,2,1003466122,39668550,108
5,1,9379750200,675437600,93
5,2,905271128,90046071,95
6,1,10135832100,338876000,98
6,2,873677727,86009658,100
7,1,10202734800,464691000,119
7,2,893514043,49787846,115
8,1,9151081400,400336000,109
8,2,903130394,135021660,111
9,1,8819600500,554350800,72
9,2,1005020467,48178365,79
10,1,8228629900,979628200,117
10,2,1005052893,62162851,149
11,1,8486329300,534058800,99
11,2,983976225,99161561,137
12,1,9852706800,529121500,97
12,2,892256087,75310334,98
13,1,9821376800,488143100,83
13,2,850383455,123410289,95
14,1,8933744100,1670119300,123
14,2,880959824,67708721,111
15,1,8457670600,829291200,61
15,2,997261236,63299081,109
16,1,9720095500,581658700,73
16,2,939678136,34674751,70
17,1,9210154000,613305200,102
17,2,983026302,31958792,88
18,1,9859052700,502338100,109
18,2,916791456,52500035,97
19,1,9499107200,762295700,103
19,2,936861532,40943540,106
20,1,9981514400,648586500,116
20,2,809511815,136947197,121
21,1,9759149000,1026757400,127
21,2,862450572,70793124,90
22,1,9981331300,398539900,98
22,2,941912377,25802226,105
23,1,9429960100,501968900,77
23,2,971219754,34581625,68
24,1,8147039600,1679605000,92
24,2,974501922,40208633,82
25,1,9200547500,809090200,76
25,2,941845310,57338636,88
26,1,8577663600,1047639100,93
26,2,1015512494,16324059,104
27,1,9128768200,651333400,94
27,2,975462414,43183441,100
28,1,9666683400,522420800,91
28,2,901950729,81993808,84
29,1,9338857800,369343800,100
29,2,890051696,134748147,95
30,1,9235701300,296368500,69
30,2,977494431,62281117,125
31,1,9213973400,506598700,90
31,2,983322438,40367174,91
32,1,8522860200,230388600,65
32,2,1016883313,88957472,108
33,1,8982794200,459789100,82
33,2,955106182,92261345,103
34,1,9798864700,775086200,126
34,2,874083515,77135126,100
35,1,9140802700,607876600,75
35,2,964512732,56849380,83
36,1,8516011900,477030900,84
36,2,1000922009,84599780,119
37,1,9586040800,504120900,84
37,2,925662779,66701145,102
38,1,9481344600,563943900,115
38,2,946793103,49362902,120
39,1,9241983500,859771900,110
