event_type,order_id,user_id,seq_id,filled_qty,remaining_qty,price,reason
accepted,1,655,1,,,,
accepted,2,96,2,,,,
accepted,3,559,3,,,,
accepted,4,285,4,,,,
accepted,5,827,5,,,,
accepted,6,907,6,,,,
accepted,7,297,7,,,,
accepted,8,855,8,,,,
accepted,9,176,9,,,,
filled,9,176,,18597800,,8492342,
accepted,10,333,10,,,,
accepted,11,275,11,,,,
accepted,12,512,12,,,,
accepted,13,575,13,,,,
accepted,14,142,14,,,,
accepted,15,812,15,,,,
accepted,16,258,16,,,,
accepted,17,550,17,,,,
accepted,18,4,18,,,,
accepted,19,935,19,,,,
accepted,20,383,20,,,,
accepted,21,60,21,,,,
accepted,22,779,22,,,,
filled,22,779,,11984300,,8495601,
accepted,23,988,23,,,,
accepted,24,688,24,,,,
accepted,25,347,25,,,,
accepted,26,527,26,,,,
accepted,27,804,27,,,,
accepted,28,421,28,,,,
accepted,29,883,29,,,,
filled,29,883,,3217500,,8501557,
accepted,30,474,30,,,,
accepted,31,52,31,,,,
accepted,32,493,32,,,,
accepted,33,466,33,,,,
accepted,34,499,34,,,,
filled,34,499,,15606000,,8502237,
accepted,35,766,35,,,,
partial_filled,35,766,,56345800,43565400,,
accepted,36,59,36,,,,
filled,36,59,,21232800,,8510830,
accepted,37,241,37,,,,
accepted,38,84,38,,,,
accepted,39,734,39,,,,
accepted,40,952,40,,,,
filled,40,952,,2476800,,8510830,
accepted,41,272,41,,,,
accepted,42,449,42,,,,
accepted,43,962,43,,,,
filled,43,962,,20930600,,8510386,
accepted,44,289,44,,,,
accepted,45,501,45,,,,
accepted,46,46,46,,,,
accepted,47,565,47,,,,
accepted,48,441,48,,,,
accepted,49,256,49,,,,
accepted,50,820,50,,,,
accepted,51,954,51,,,,
accepted,52,719,52,,,,
accepted,53,472,53,,,,
accepted,54,409,54,,,,
accepted,55,410,55,,,,
accepted,56,272,56,,,,
accepted,57,524,57,,,,
accepted,58,533,58,,,,
accepted,59,373,59,,,,
accepted,60,128,60,,,,
accepted,61,303,61,,,,
filled,61,303,,2909000,,8502203,
accepted,62,179,62,,,,
accepted,63,671,63,,,,
accepted,64,983,64,,,,
filled,64,983,,11144100,,8502203,
accepted,65,344,65,,,,
accepted,66,151,66,,,,
filled,66,151,,5517400,,8502583,
accepted,67,200,67,,,,
accepted,68,915,68,,,,
accepted,69,981,69,,,,
accepted,70,544,70,,,,
accepted,71,737,71,,,,
accepted,72,883,72,,,,
partial_filled,72,883,,19364500,26023100,,
accepted,73,534,73,,,,
filled,73,534,,20500100,,8505977,
accepted,74,344,74,,,,
accepted,75,724,75,,,,
accepted,76,853,76,,,,
accepted,77,784,77,,,,
accepted,78,914,78,,,,
accepted,79,226,79,,,,
filled,79,226,,4215900,,8507748,
accepted,80,818,80,,,,
filled,80,818,,791300,,8507748,
accepted,81,28,81,,,,
accepted,82,888,82,,,,
partial_filled,82,888,,3111400,209800,,
accepted,83,780,83,,,,
filled,83,780,,2944700,,8504879,
accepted,84,482,84,,,,
accepted,85,800,85,,,,
filled,85,800,,175100,,8504646,
accepted,86,637,86,,,,
filled,86,637,,12342900,,8511842,
accepted,87,717,87,,,,
accepted,88,319,88,,,,
accepted,89,78,89,,,,
accepted,90,701,90,,,,
filled,90,701,,30469300,,8504568,
accepted,91,439,91,,,,
filled,91,439,,1150400,,8502203,
accepted,92,502,92,,,,
accepted,93,446,93,,,,
accepted,94,794,94,,,,
accepted,95,851,95,,,,
filled,95,851,,44746400,,8496394,
accepted,96,685,96,,,,
filled,96,685,,3537600,,8509037,
accepted,97,817,97,,,,
partial_filled,97,817,,35619700,54806800,,
accepted,98,530,98,,,,
filled,98,530,,8855600,,8515232,
accepted,99,708,99,,,,
accepted,100,415,100,,,,
accepted,101,436,101,,,,
filled,101,436,,8422600,,8515232,
accepted,102,237,102,,,,
accepted,103,190,103,,,,
accepted,104,612,104,,,,
accepted,105,15,105,,,,
filled,105,15,,1980100,,8515232,
accepted,106,967,106,,,,
accepted,107,481,107,,,,
accepted,108,703,108,,,,
accepted,109,232,109,,,,
accepted,110,440,110,,,,
accepted,111,677,111,,,,
accepted,112,706,112,,,,
filled,112,706,,60077400,,8514681,
accepted,113,465,113,,,,
accepted,114,824,114,,,,
accepted,115,847,115,,,,
filled,115,847,,40210200,,8519877,
accepted,116,944,116,,,,
accepted,117,83,117,,,,
accepted,118,235,118,,,,
accepted,119,42,119,,,,
filled,119,42,,8138800,,8519655,
accepted,120,600,120,,,,
accepted,121,329,121,,,,
partial_filled,121,329,,16566100,3575100,,
accepted,122,968,122,,,,
accepted,123,119,123,,,,
accepted,124,193,124,,,,
accepted,125,274,125,,,,
accepted,126,997,126,,,,
accepted,127,862,127,,,,
accepted,128,734,128,,,,
accepted,129,468,129,,,,
accepted,130,885,130,,,,
accepted,131,274,131,,,,
filled,131,274,,9691700,,8505042,
accepted,132,552,132,,,,
accepted,133,891,133,,,,
accepted,134,45,134,,,,
accepted,135,156,135,,,,
partial_filled,135,156,,54951500,4404900,,
accepted,136,896,136,,,,
filled,136,896,,2008900,,8511679,
