order_id,user_id,side,order_type,price,qty,filled_qty,status
99981,882,buy,limit,8499126,13295000,0,NEW
99992,625,buy,limit,8498224,148091300,0,NEW
99995,872,buy,limit,8493506,5315200,0,NEW
99726,236,buy,limit,8492352,174428500,80886700,NEW
99722,430,buy,limit,8492310,26776600,0,NEW
99855,559,buy,limit,8491848,14003100,0,NEW
99322,355,buy,limit,8491636,387233300,352329900,NEW
99320,456,buy,limit,8491596,10202100,0,NEW
99570,884,buy,limit,8491374,1363200,0,NEW
99437,90,buy,limit,8491124,1415100,0,NEW
99908,720,buy,limit,8490708,102414300,0,NEW
99046,947,buy,limit,8490701,30137000,28200100,NEW
90437,405,buy,limit,8490689,56833400,0,NEW
92845,171,buy,limit,8490667,7981600,0,NEW
92970,906,buy,limit,8490659,1616400,0,NEW
99920,214,buy,limit,8490632,7685400,0,NEW
92201,523,buy,limit,8490601,44355100,0,NEW
90857,660,buy,limit,8490598,4216100,0,NEW
95449,512,buy,limit,8490598,11042200,0,NEW
98480,769,buy,limit,8490596,8168800,0,NEW
98572,984,buy,limit,8490576,2894400,0,NEW
90324,283,buy,limit,8490562,10678900,0,NEW
92451,855,buy,limit,8490558,10106900,0,NEW
94874,22,buy,limit,8490553,1457700,0,NEW
92928,406,buy,limit,8490552,3686800,0,NEW
90289,640,buy,limit,8490545,50909400,0,NEW
93268,226,buy,limit,8490545,3624700,0,NEW
92028,649,buy,limit,8490543,10672500,0,NEW
93988,665,buy,limit,8490539,1789300,0,NEW
97832,405,buy,limit,8490537,2256500,0,NEW
96673,764,buy,limit,8490536,638300,0,NEW
94201,400,buy,limit,8490529,27361900,0,NEW
95786,81,buy,limit,8490529,28064000,0,NEW
99843,266,buy,limit,8490510,10101600,0,NEW
95566,473,buy,limit,8490498,10513100,0,NEW
95869,240,buy,limit,8490495,98637300,0,NEW
89909,369,buy,limit,8490493,10006300,0,NEW
98701,284,buy,limit,8490454,5690700,0,NEW
94488,449,buy,limit,8490429,28659100,0,NEW
91952,585,buy,limit,8490427,5898100,0,NEW
97164,918,buy,limit,8490421,5172800,0,NEW
92158,171,buy,limit,8490380,344500,0,NEW
91854,254,buy,limit,8490359,12664800,0,NEW
