order_id,user_id,side,order_type,price,qty,filled_qty,status
6,907,sell,limit,85330350000,2201000,0,New
7,297,sell,limit,85532870000,5687300,0,New
11,275,buy,limit,84763390000,20384400,0,New
19,935,buy,limit,84506960000,10249200,0,New
20,383,sell,limit,85403940000,34297100,0,New
23,988,buy,limit,84643120000,3271600,0,New
25,347,buy,limit,84750550000,1651600,0,New
28,421,buy,limit,84691610000,6843600,0,New
33,466,buy,limit,84642580000,86407700,0,New
37,241,buy,limit,84761910000,12355100,0,New
38,84,buy,limit,84788290000,40786500,6985000,New
42,449,sell,limit,85260630000,2157400,0,New
46,46,buy,limit,84718450000,937400,0,New
48,441,buy,limit,84392370000,36676700,0,New
49,256,sell,limit,85228710000,4453500,0,New
51,954,buy,limit,84638240000,4626700,0,New
52,719,buy,limit,84478130000,203600,0,New
53,472,buy,limit,84454080000,1227900,0,New
54,409,buy,limit,84107940000,2048800,0,New
58,533,sell,limit,85343510000,66213000,0,New
59,373,buy,limit,84330410000,25637800,0,New
62,179,sell,limit,85221880000,6508000,0,New
63,671,buy,limit,84689840000,11495900,0,New
69,981,sell,limit,85227280000,1716300,0,New
70,544,sell,limit,85783530000,134689200,0,New
71,737,sell,limit,85624680000,8474500,0,New
76,853,buy,limit,84753230000,335106900,0,New
77,784,sell,limit,85748760000,4276100,0,New
78,914,sell,limit,85370410000,13488000,0,New
81,28,sell,limit,85296780000,1535500,0,New
84,482,buy,limit,83276970000,3316800,0,New
87,717,buy,limit,84739500000,23509800,0,New
92,502,buy,limit,84719520000,179921900,0,New
93,446,buy,limit,84708900000,408831900,0,New
94,794,buy,limit,84642090000,179700,0,New
100,415,sell,limit,85241580000,8635600,0,New
107,481,buy,limit,84118430000,9510300,0,New
109,232,sell,limit,85629240000,2815900,0,New
110,440,buy,limit,84737070000,3855600,0,New
114,824,sell,limit,85219980000,633057900,191813000,New
117,83,sell,limit,85357620000,13151800,0,New
118,235,sell,limit,85237740000,18347300,0,New
