uid,currencies
1,
2,3762;3928
3,3762;3928
4,3762;3928
5,3762;3928
6,3762;3928
7,3762;3928
8,3762;3928
9,3762;3928
10,3762;3928
11,3762;3928
12,3762;3928
13,3762;3928
14,3762;3928
15,3762;3928
16,3762;3928
17,3762;3928
18,3762;3928
19,3762;3928
20,3762;3928
21,3762;3928
22,3762;3928
23,3762;3928
24,3762;3928
25,3762;3928
26,3762;3928
27,3762;3928
28,3762;3928
29,3762;3928
30,3762;3928
31,3762;3928
32,3762;3928
33,3762;3928
34,3762;3928
35,3762;3928
36,3762;3928
37,3762;3928
38,3762;3928
39,3762;3928
40,3762;3928
41,3762;3928
42,3762;3928
43,3762;3928
44,3762;3928
45,3762;3928
46,3762;3928
47,3762;3928
48,3762;3928
49,3762;3928
50,3762;3928
51,3762;3928
52,3762;3928
53,3762;3928
54,3762;3928
55,3762;3928
56,3762;3928
57,3762;3928
58,3762;3928
59,3762;3928
60,3762;3928
61,3762;3928
62,3762;3928
63,3762;3928
64,3762;3928
65,3762;3928
66,3762;3928
67,3762;3928
68,3762;3928
69,3762;3928
70,3762;3928
71,3762;3928
72,3762;3928
73,3762;3928
74,3762;3928
75,3762;3928
76,3762;3928
77,3762;3928
78,3762;3928
79,3762;3928
80,3762;3928
81,3762;3928
82,3762;3928
83,3762;3928
84,3762;3928
85,3762;3928
86,3762;3928
87,3762;3928
88,3762;3928
89,3762;3928
90,3762;3928
91,3762;3928
92,3762;3928
93,3762;3928
94,3762;3928
95,3762;3928
96,3762;3928
97,3762;3928
98,3762;3928
99,3762;3928
100,3762;3928
101,3762;3928
102,3762;3928
103,3762;3928
104,3762;3928
105,3762;3928
106,3762;3928
107,3762;3928
108,3762;3928
109,3762;3928
110,3762;3928
111,3762;3928
112,3762;3928
113,3762;3928
114,3762;3928
115,3762;3928
116,3762;3928
117,3762;3928
118,3762;3928
119,3762;3928
120,3762;3928
121,3762;3928
122,3762;3928
123,3762;3928
124,3762;3928
125,3762;3928
126,3762;3928
127,3762;3928
128,3762;3928
129,3762;3928
130,3762;3928
131,3762;3928
132,3762;3928
133,3762;3928
134,3762;3928
135,3762;3928
136,3762;3928
137,3762;3928
138,3762;3928
139,3762;3928
140,3762;3928
141,3762;3928
142,3762;3928
143,3762;3928
144,3762;3928
145,3762;3928
146,3762;3928
147,3762;3928
148,3762;3928
149,3762;3928
150,3762;3928
151,3762;3928
152,3762;3928
153,3762;3928
154,3762;3928
155,3762;3928
156,3762;3928
157,3762;3928
158,3762;3928
159,3762;3928
160,3762;3928
161,3762;3928
162,3762;3928
163,3762;3928
164,3762;3928
165,3762;3928
166,3762;3928
167,3762;3928
168,3762;3928
169,3762;3928
170,3762;3928
171,3762;3928
172,3762;3928
173,3762;3928
174,3762;3928
175,3762;3928
176,3762;3928
177,3762;3928
178,3762;3928
179,3762;3928
180,3762;3928
181,3762;3928
182,3762;3928
183,3762;3928
184,3762;3928
185,3762;3928
186,3762;3928
187,3762;3928
188,3762;3928
189,3762;3928
190,3762;3928
191,3762;3928
192,3762;3928
193,3762;3928
194,3762;3928
195,3762;3928
196,3762;3928
197,3762;3928
198,3762;3928
199,3762;3928
200,3762;3928
201,3762;3928
202,3762;3928
203,3762;3928
204,3762;3928
205,3762;3928
206,3762;3928
207,3762;3928
208,3762;3928
209,3762;3928
210,3762;3928
211,3762;3928
212,3762;3928
213,3762;3928
214,3762;3928
215,3762;3928
216,3762;3928
217,3762;3928
218,3762;3928
219,3762;3928
220,3762;3928
221,3762;3928
222,3762;3928
223,3762;3928
224,3762;3928
225,3762;3928
226,3762;3928
227,3762;3928
228,3762;3928
229,3762;3928
230,3762;3928
231,3762;3928
232,3762;3928
233,3762;3928
234,3762;3928
235,3762;3928
236,3762;3928
237,3762;3928
238,3762;3928
239,3762;3928
240,3762;3928
241,3762;3928
242,3762;3928
243,3762;3928
244,3762;3928
245,3762;3928
246,3762;3928
247,3762;3928
248,3762;3928
249,3762;3928
250,3762;3928
251,3762;3928
252,3762;3928
253,3762;3928
254,3762;3928
255,3762;3928
256,3762;3928
257,3762;3928
258,3762;3928
259,3762;3928
260,3762;3928
261,3762;3928
262,3762;3928
263,3762;3928
264,3762;3928
265,3762;3928
266,3762;3928
267,3762;3928
268,3762;3928
269,3762;3928
270,3762;3928
271,3762;3928
272,3762;3928
273,3762;3928
274,3762;3928
275,3762;3928
276,3762;3928
277,3762;3928
278,3762;3928
279,3762;3928
280,3762;3928
281,3762;3928
282,3762;3928
283,3762;3928
284,3762;3928
285,3762;3928
286,3762;3928
287,3762;3928
288,3762;3928
289,3762;3928
290,3762;3928
291,3762;3928
292,3762;3928
293,3762;3928
294,3762;3928
295,3762;3928
296,3762;3928
297,3762;3928
298,3762;3928
299,3762;3928
300,3762;3928
301,3762;3928
302,3762;3928
303,3762;3928
304,3762;3928
305,3762;3928
306,3762;3928
307,3762;3928
308,3762;3928
309,3762;3928
310,3762;3928
311,3762;3928
312,3762;3928
313,3762;3928
314,3762;3928
315,3762;3928
316,3762;3928
317,3762;3928
318,3762;3928
319,3762;3928
320,3762;3928
321,3762;3928
322,3762;3928
323,3762;3928
324,3762;3928
325,3762;3928
326,3762;3928
327,3762;3928
328,3762;3928
329,3762;3928
330,3762;3928
331,3762;3928
332,3762;3928
333,3762;3928
334,3762;3928
335,3762;3928
336,3762;3928
337,3762;3928
338,3762;3928
339,3762;3928
340,3762;3928
341,3762;3928
342,3762;3928
343,3762;3928
344,3762;3928
345,3762;3928
346,3762;3928
347,3762;3928
348,3762;3928
349,3762;3928
350,3762;3928
351,3762;3928
352,3762;3928
353,3762;3928
354,3762;3928
355,3762;3928
356,3762;3928
357,3762;3928
358,3762;3928
359,3762;3928
360,3762;3928
361,3762;3928
362,3762;3928
363,3762;3928
364,3762;3928
365,3762;3928
366,3762;3928
367,3762;3928
368,3762;3928
369,3762;3928
370,3762;3928
371,3762;3928
372,3762;3928
373,3762;3928
374,3762;3928
375,3762;3928
376,3762;3928
377,3762;3928
378,3762;3928
379,3762;3928
380,3762;3928
381,3762;3928
382,3762;3928
383,3762;3928
384,3762;3928
385,3762;3928
386,3762;3928
387,3762;3928
388,3762;3928
389,3762;3928
390,3762;3928
391,3762;3928
392,3762;3928
393,3762;3928
394,3762;3928
395,3762;3928
396,3762;3928
397,3762;3928
398,3762;3928
399,3762;3928
400,3762;3928
401,3762;3928
402,3762;3928
403,3762;3928
404,3762;3928
405,3762;3928
406,3762;3928
407,3762;3928
408,3762;3928
409,3762;3928
410,3762;3928
411,3762;3928
412,3762;3928
413,3762;3928
414,3762;3928
415,3762;3928
416,3762;3928
417,3762;3928
418,3762;3928
419,3762;3928
420,3762;3928
421,3762;3928
422,3762;3928
423,3762;3928
424,3762;3928
425,3762;3928
426,3762;3928
427,3762;3928
428,3762;3928
429,3762;3928
430,3762;3928
431,3762;3928
432,3762;3928
433,3762;3928
434,3762;3928
435,3762;3928
436,3762;3928
437,3762;3928
438,3762;3928
439,3762;3928
440,3762;3928
441,3762;3928
442,3762;3928
443,3762;3928
444,3762;3928
445,3762;3928
446,3762;3928
447,3762;3928
448,3762;3928
449,3762;3928
450,3762;3928
451,3762;3928
452,3762;3928
453,3762;3928
454,3762;3928
455,3762;3928
456,3762;3928
457,3762;3928
458,3762;3928
459,3762;3928
460,3762;3928
461,3762;3928
462,3762;3928
463,3762;3928
464,3762;3928
465,3762;3928
466,3762;3928
467,3762;3928
468,3762;3928
469,3762;3928
470,3762;3928
471,3762;3928
472,3762;3928
473,3762;3928
474,3762;3928
475,3762;3928
476,3762;3928
477,3762;3928
478,3762;3928
479,3762;3928
480,3762;3928
481,3762;3928
482,3762;3928
483,3762;3928
484,3762;3928
485,3762;3928
486,3762;3928
487,3762;3928
488,3762;3928
489,3762;3928
490,3762;3928
491,3762;3928
492,3762;3928
493,3762;3928
494,3762;3928
495,3762;3928
496,3762;3928
497,3762;3928
498,3762;3928
499,3762;3928
500,3762;3928
501,3762;3928
502,3762;3928
503,3762;3928
504,3762;3928
505,3762;3928
506,3762;3928
507,3762;3928
508,3762;3928
509,3762;3928
510,3762;3928
511,3762;3928
512,3762;3928
513,3762;3928
514,3762;3928
515,3762;3928
516,3762;3928
517,3762;3928
518,3762;3928
519,3762;3928
520,3762;3928
521,3762;3928
522,3762;3928
523,3762;3928
524,3762;3928
525,3762;3928
526,3762;3928
527,3762;3928
528,3762;3928
529,3762;3928
530,3762;3928
531,3762;3928
532,3762;3928
533,3762;3928
534,3762;3928
535,3762;3928
536,3762;3928
537,3762;3928
538,3762;3928
539,3762;3928
540,3762;3928
541,3762;3928
542,3762;3928
543,3762;3928
544,3762;3928
545,3762;3928
546,3762;3928
547,3762;3928
548,3762;3928
549,3762;3928
550,3762;3928
551,3762;3928
552,3762;3928
553,3762;3928
554,3762;3928
555,3762;3928
556,3762;3928
557,3762;3928
558,3762;3928
559,3762;3928
560,3762;3928
561,3762;3928
562,3762;3928
563,3762;3928
564,3762;3928
565,3762;3928
566,3762;3928
567,3762;3928
568,3762;3928
569,3762;3928
570,3762;3928
571,3762;3928
572,3762;3928
573,3762;3928
574,3762;3928
575,3762;3928
576,3762;3928
577,3762;3928
578,3762;3928
579,3762;3928
580,3762;3928
581,3762;3928
582,3762;3928
583,3762;3928
584,3762;3928
585,3762;3928
586,3762;3928
587,3762;3928
588,3762;3928
589,3762;3928
590,3762;3928
591,3762;3928
592,3762;3928
593,3762;3928
594,3762;3928
595,3762;3928
596,3762;3928
597,3762;3928
598,3762;3928
599,3762;3928
600,3762;3928
601,3762;3928
602,3762;3928
603,3762;3928
604,3762;3928
605,3762;3928
606,3762;3928
607,3762;3928
608,3762;3928
609,3762;3928
610,3762;3928
611,3762;3928
612,3762;3928
613,3762;3928
614,3762;3928
615,3762;3928
616,3762;3928
617,3762;3928
618,3762;3928
619,3762;3928
620,3762;3928
621,3762;3928
622,3762;3928
623,3762;3928
624,3762;3928
625,3762;3928
626,3762;3928
627,3762;3928
628,3762;3928
629,3762;3928
630,3762;3928
631,3762;3928
632,3762;3928
633,3762;3928
634,3762;3928
635,3762;3928
636,3762;3928
637,3762;3928
638,3762;3928
639,3762;3928
640,3762;3928
641,3762;3928
642,3762;3928
643,3762;3928
644,3762;3928
645,3762;3928
646,3762;3928
647,3762;3928
648,3762;3928
649,3762;3928
650,3762;3928
651,3762;3928
652,3762;3928
653,3762;3928
654,3762;3928
655,3762;3928
656,3762;3928
657,3762;3928
658,3762;3928
659,3762;3928
660,3762;3928
661,3762;3928
662,3762;3928
663,3762;3928
664,3762;3928
665,3762;3928
666,3762;3928
667,3762;3928
668,3762;3928
669,3762;3928
670,3762;3928
671,3762;3928
672,3762;3928
673,3762;3928
674,3762;3928
675,3762;3928
676,3762;3928
677,3762;3928
678,3762;3928
679,3762;3928
680,3762;3928
681,3762;3928
682,3762;3928
683,3762;3928
684,3762;3928
685,3762;3928
686,3762;3928
687,3762;3928
688,3762;3928
689,3762;3928
690,3762;3928
691,3762;3928
692,3762;3928
693,3762;3928
694,3762;3928
695,3762;3928
696,3762;3928
697,3762;3928
698,3762;3928
699,3762;3928
700,3762;3928
701,3762;3928
702,3762;3928
703,3762;3928
704,3762;3928
705,3762;3928
706,3762;3928
707,3762;3928
708,3762;3928
709,3762;3928
710,3762;3928
711,3762;3928
712,3762;3928
713,3762;3928
714,3762;3928
715,3762;3928
716,3762;3928
717,3762;3928
718,3762;3928
719,3762;3928
720,3762;3928
721,3762;3928
722,3762;3928
723,3762;3928
724,3762;3928
725,3762;3928
726,3762;3928
727,3762;3928
728,3762;3928
729,3762;3928
730,3762;3928
731,3762;3928
732,3762;3928
733,3762;3928
734,3762;3928
735,3762;3928
736,3762;3928
737,3762;3928
738,3762;3928
739,3762;3928
740,3762;3928
741,3762;3928
742,3762;3928
743,3762;3928
744,3762;3928
745,3762;3928
746,3762;3928
747,3762;3928
748,3762;3928
749,3762;3928
750,3762;3928
751,3762;3928
752,3762;3928
753,3762;3928
754,3762;3928
755,3762;3928
756,3762;3928
757,3762;3928
758,3762;3928
759,3762;3928
760,3762;3928
761,3762;3928
762,3762;3928
763,3762;3928
764,3762;3928
765,3762;3928
766,3762;3928
767,3762;3928
768,3762;3928
769,3762;3928
770,3762;3928
771,3762;3928
772,3762;3928
773,3762;3928
774,3762;3928
775,3762;3928
776,3762;3928
777,3762;3928
778,3762;3928
779,3762;3928
780,3762;3928
781,3762;3928
782,3762;3928
783,3762;3928
784,3762;3928
785,3762;3928
786,3762;3928
787,3762;3928
788,3762;3928
789,3762;3928
790,3762;3928
791,3762;3928
792,3762;3928
793,3762;3928
794,3762;3928
795,3762;3928
796,3762;3928
797,3762;3928
798,3762;3928
799,3762;3928
800,3762;3928
801,3762;3928
802,3762;3928
803,3762;3928
804,3762;3928
805,3762;3928
806,3762;3928
807,3762;3928
808,3762;3928
809,3762;3928
810,3762;3928
811,3762;3928
812,3762;3928
813,3762;3928
814,3762;3928
815,3762;3928
816,3762;3928
817,3762;3928
818,3762;3928
819,3762;3928
820,3762;3928
821,3762;3928
822,3762;3928
823,3762;3928
824,3762;3928
825,3762;3928
826,3762;3928
827,3762;3928
828,3762;3928
829,3762;3928
830,3762;3928
831,3762;3928
832,3762;3928
833,3762;3928
834,3762;3928
835,3762;3928
836,3762;3928
837,3762;3928
838,3762;3928
839,3762;3928
840,3762;3928
841,3762;3928
842,3762;3928
843,3762;3928
844,3762;3928
845,3762;3928
846,3762;3928
847,3762;3928
848,3762;3928
849,3762;3928
850,3762;3928
851,3762;3928
852,3762;3928
853,3762;3928
854,3762;3928
855,3762;3928
856,3762;3928
857,3762;3928
858,3762;3928
859,3762;3928
860,3762;3928
861,3762;3928
862,3762;3928
863,3762;3928
864,3762;3928
865,3762;3928
866,3762;3928
867,3762;3928
868,3762;3928
869,3762;3928
870,3762;3928
871,3762;3928
872,3762;3928
873,3762;3928
874,3762;3928
875,3762;3928
876,3762;3928
877,3762;3928
878,3762;3928
879,3762;3928
880,3762;3928
881,3762;3928
882,3762;3928
883,3762;3928
884,3762;3928
885,3762;3928
886,3762;3928
887,3762;3928
888,3762;3928
889,3762;3928
890,3762;3928
891,3762;3928
892,3762;3928
893,3762;3928
894,3762;3928
895,3762;3928
896,3762;3928
897,3762;3928
898,3762;3928
899,3762;3928
900,3762;3928
901,3762;3928
902,3762;3928
903,3762;3928
904,3762;3928
905,3762;3928
906,3762;3928
907,3762;3928
908,3762;3928
909,3762;3928
910,3762;3928
911,3762;3928
912,3762;3928
913,3762;3928
914,3762;3928
915,3762;3928
916,3762;3928
917,3762;3928
918,3762;3928
919,3762;3928
920,3762;3928
921,3762;3928
922,3762;3928
923,3762;3928
924,3762;3928
925,3762;3928
926,3762;3928
927,3762;3928
928,3762;3928
929,3762;3928
930,3762;3928
931,3762;3928
932,3762;3928
933,3762;3928
934,3762;3928
935,3762;3928
936,3762;3928
937,3762;3928
938,3762;3928
939,3762;3928
940,3762;3928
941,3762;3928
942,3762;3928
943,3762;3928
944,3762;3928
945,3762;3928
946,3762;3928
947,3762;3928
948,3762;3928
949,3762;3928
950,3762;3928
951,3762;3928
952,3762;3928
953,3762;3928
954,3762;3928
955,3762;3928
956,3762;3928
957,3762;3928
958,3762;3928
959,3762;3928
960,3762;3928
961,3762;3928
962,3762;3928
963,3762;3928
964,3762;3928
965,3762;3928
966,3762;3928
967,3762;3928
968,3762;3928
969,3762;3928
970,3762;3928
971,3762;3928
972,3762;3928
973,3762;3928
974,3762;3928
975,3762;3928
976,3762;3928
977,3762;3928
978,3762;3928
979,3762;3928
980,3762;3928
981,3762;3928
982,3762;3928
983,3762;3928
984,3762;3928
985,3762;3928
986,3762;3928
987,3762;3928
988,3762;3928
