phase,command,order_id,symbol,price,size,action,order_type,uid
FILL,PLACE_ORDER,1,40000,34386,1,BID,GTC,393
FILL,PLACE_ORDER,2,40000,34135,1,BID,GTC,677
FILL,PLACE_ORDER,3,40000,34347,2,BID,GTC,577
FILL,PLACE_ORDER,4,40000,34150,9,BID,GTC,325
FILL,PLACE_ORDER,5,40000,34152,13,BID,GTC,116
FILL,PLACE_ORDER,6,40000,34391,76,ASK,GTC,172
FILL,PLACE_ORDER,7,40000,34253,7,BID,GTC,975
FILL,PLACE_ORDER,8,40000,34342,25,BID,GTC,26
FILL,PLACE_ORDER,9,40000,34621,1,ASK,GTC,723
FILL,PLACE_ORDER,10,40000,34971,16,ASK,GTC,414
FILL,PLACE_ORDER,11,40000,34387,65,BID,GTC,354
FILL,PLACE_ORDER,12,40000,34028,46,BID,GTC,779
FILL,PLACE_ORDER,13,40000,34490,3,ASK,GTC,706
FILL,PLACE_ORDER,14,40000,34435,1,ASK,GTC,355
FILL,PLACE_ORDER,15,40000,34286,1,BID,GTC,510
FILL,PLACE_ORDER,16,40000,34356,31,BID,GTC,442
FILL,PLACE_ORDER,17,40000,34377,51,BID,GTC,877
FILL,PLACE_ORDER,18,40000,34389,1,BID,GTC,53
FILL,PLACE_ORDER,19,40000,34381,126,BID,GTC,349
FILL,PLACE_ORDER,20,40000,34297,1,BID,GTC,491
FILL,PLACE_ORDER,21,40000,34576,17,ASK,GTC,602
FILL,PLACE_ORDER,22,40000,34303,3,BID,GTC,37
FILL,PLACE_ORDER,23,40000,34551,61,ASK,GTC,926
FILL,PLACE_ORDER,24,40000,34446,3,ASK,GTC,569
FILL,PLACE_ORDER,25,40000,34391,1,ASK,GTC,531
FILL,PLACE_ORDER,26,40000,34066,31,BID,GTC,175
FILL,PLACE_ORDER,27,40000,34400,1,ASK,GTC,53
FILL,PLACE_ORDER,28,40000,34388,9,BID,GTC,144
FILL,PLACE_ORDER,29,40000,34473,76,ASK,GTC,830
FILL,PLACE_ORDER,30,40000,34382,1,BID,GTC,744
FILL,PLACE_ORDER,31,40000,34172,5,BID,GTC,810
FILL,PLACE_ORDER,32,40000,34340,61,BID,GTC,465
FILL,PLACE_ORDER,33,40000,34375,13,BID,GTC,953
FILL,PLACE_ORDER,34,40000,33843,1,BID,GTC,244
FILL,PLACE_ORDER,35,40000,34451,33,ASK,GTC,754
FILL,PLACE_ORDER,36,40000,34403,1,ASK,GTC,659
FILL,PLACE_ORDER,37,40000,34547,1,ASK,GTC,504
FILL,PLACE_ORDER,38,40000,34613,41,ASK,GTC,979
FILL,PLACE_ORDER,39,40000,34386,31,BID,GTC,353
FILL,PLACE_ORDER,40,40000,34364,25,BID,GTC,129
FILL,PLACE_ORDER,41,40000,34671,1,ASK,GTC,185
FILL,PLACE_ORDER,42,40000,33628,101,BID,GTC,57
FILL,PLACE_ORDER,43,40000,34545,25,ASK,GTC,685
FILL,PLACE_ORDER,44,40000,34988,31,ASK,GTC,314
FILL,PLACE_ORDER,45,40000,34278,1,BID,GTC,927
FILL,PLACE_ORDER,46,40000,34322,1,BID,GTC,20
FILL,PLACE_ORDER,47,40000,34410,1,ASK,GTC,46
FILL,PLACE_ORDER,48,40000,34397,1,ASK,GTC,104
FILL,PLACE_ORDER,49,40000,34548,1,ASK,GTC,76
FILL,PLACE_ORDER,50,40000,34449,9,ASK,GTC,935
FILL,PLACE_ORDER,51,40000,34242,1,BID,GTC,891
FILL,PLACE_ORDER,52,40000,34665,37,ASK,GTC,401
FILL,PLACE_ORDER,53,40000,34948,31,ASK,GTC,925
FILL,PLACE_ORDER,54,40000,34388,1,BID,GTC,805
FILL,PLACE_ORDER,55,40000,34512,31,ASK,GTC,911
FILL,PLACE_ORDER,56,40000,34055,49,BID,GTC,505
FILL,PLACE_ORDER,57,40000,34374,1,BID,GTC,358
FILL,PLACE_ORDER,58,40000,34389,1,BID,GTC,539
FILL,PLACE_ORDER,59,40000,34285,4,BID,GTC,247
FILL,PLACE_ORDER,60,40000,34401,4,ASK,GTC,978
FILL,PLACE_ORDER,61,40000,34328,1,BID,GTC,722
FILL,PLACE_ORDER,62,40000,34484,1,ASK,GTC,575
FILL,PLACE_ORDER,63,40000,34436,65,ASK,GTC,564
FILL,PLACE_ORDER,64,40000,34392,1,ASK,GTC,398
FILL,PLACE_ORDER,65,40000,33945,1,BID,GTC,808
FILL,PLACE_ORDER,66,40000,34471,1,ASK,GTC,373
FILL,PLACE_ORDER,67,40000,34600,17,ASK,GTC,554
FILL,PLACE_ORDER,68,40000,34438,21,ASK,GTC,918
FILL,PLACE_ORDER,69,40000,34508,81,ASK,GTC,783
FILL,PLACE_ORDER,70,40000,34170,1,BID,GTC,333
FILL,PLACE_ORDER,71,40000,34405,1,ASK,GTC,934
FILL,PLACE_ORDER,72,40000,34288,1,BID,GTC,626
FILL,PLACE_ORDER,73,40000,34686,1,ASK,GTC,406
FILL,PLACE_ORDER,74,40000,34492,76,ASK,GTC,383
FILL,PLACE_ORDER,75,40000,34146,1,BID,GTC,806
FILL,PLACE_ORDER,76,40000,34390,1,BID,GTC,927
FILL,PLACE_ORDER,77,40000,34496,19,ASK,GTC,138
FILL,PLACE_ORDER,78,40000,34356,1,BID,GTC,264
FILL,PLACE_ORDER,79,40000,34568,1,ASK,GTC,172
FILL,PLACE_ORDER,80,40000,34290,33,BID,GTC,371
FILL,PLACE_ORDER,81,40000,33984,13,BID,GTC,581
FILL,PLACE_ORDER,82,40000,34464,1,ASK,GTC,770
FILL,PLACE_ORDER,83,40000,34672,1,ASK,GTC,767
FILL,PLACE_ORDER,84,40000,34412,7,ASK,GTC,261
FILL,PLACE_ORDER,85,40000,34404,17,ASK,GTC,733
FILL,PLACE_ORDER,86,40000,34387,19,BID,GTC,956
FILL,PLACE_ORDER,87,40000,34389,1,BID,GTC,763
FILL,PLACE_ORDER,88,40000,34447,126,ASK,GTC,12
FILL,PLACE_ORDER,89,40000,34137,25,BID,GTC,710
FILL,PLACE_ORDER,90,40000,34480,1,ASK,GTC,497
FILL,PLACE_ORDER,91,40000,34520,1,ASK,GTC,255
FILL,PLACE_ORDER,92,40000,34378,1,BID,GTC,32
FILL,PLACE_ORDER,93,40000,34476,6,ASK,GTC,607
FILL,PLACE_ORDER,94,40000,34107,51,BID,GTC,995
FILL,PLACE_ORDER,95,40000,34352,9,BID,GTC,783
FILL,PLACE_ORDER,96,40000,34399,21,ASK,GTC,686
FILL,PLACE_ORDER,97,40000,34390,1,ASK,GTC,561
FILL,PLACE_ORDER,98,40000,34443,46,ASK,GTC,610
FILL,PLACE_ORDER,99,40000,34508,1,ASK,GTC,53
FILL,PLACE_ORDER,100,40000,34390,1,ASK,GTC,728
FILL,PLACE_ORDER,101,40000,34509,10,ASK,GTC,148
FILL,PLACE_ORDER,102,40000,34235,21,BID,GTC,420
FILL,PLACE_ORDER,103,40000,34347,7,BID,GTC,71
FILL,PLACE_ORDER,104,40000,34387,51,BID,GTC,67
FILL,PLACE_ORDER,105,40000,34390,1,ASK,GTC,37
FILL,PLACE_ORDER,106,40000,34439,21,ASK,GTC,377
FILL,PLACE_ORDER,107,40000,34377,61,BID,GTC,362
FILL,PLACE_ORDER,108,40000,34159,9,BID,GTC,415
FILL,PLACE_ORDER,109,40000,34384,25,BID,GTC,149
FILL,PLACE_ORDER,110,40000,33987,61,BID,GTC,338
FILL,PLACE_ORDER,111,40000,34385,6,BID,GTC,540
FILL,PLACE_ORDER,112,40000,34136,25,BID,GTC,658
FILL,PLACE_ORDER,113,40000,34280,51,BID,GTC,794
FILL,PLACE_ORDER,114,40000,34307,1,BID,GTC,217
FILL,PLACE_ORDER,115,40000,34407,37,ASK,GTC,695
FILL,PLACE_ORDER,116,40000,34375,3,BID,GTC,789
FILL,PLACE_ORDER,117,40000,34344,1,BID,GTC,465
FILL,PLACE_ORDER,118,40000,34384,51,BID,GTC,179
FILL,PLACE_ORDER,119,40000,34421,5,ASK,GTC,123
FILL,PLACE_ORDER,120,40000,34651,6,ASK,GTC,773
FILL,PLACE_ORDER,121,40000,34375,81,BID,GTC,360
FILL,PLACE_ORDER,122,40000,34379,13,BID,GTC,910
FILL,PLACE_ORDER,123,40000,34379,126,BID,GTC,286
FILL,PLACE_ORDER,124,40000,34665,28,ASK,GTC,867
FILL,PLACE_ORDER,125,40000,34603,1,ASK,GTC,456
FILL,PLACE_ORDER,126,40000,34425,46,ASK,GTC,286
FILL,PLACE_ORDER,127,40000,34344,6,BID,GTC,140
FILL,PLACE_ORDER,128,40000,33963,31,BID,GTC,341
FILL,PLACE_ORDER,129,40000,34207,1,BID,GTC,988
FILL,PLACE_ORDER,130,40000,34860,5,ASK,GTC,86
FILL,PLACE_ORDER,131,40000,34660,21,ASK,GTC,214
FILL,PLACE_ORDER,132,40000,34282,1,BID,GTC,319
FILL,PLACE_ORDER,133,40000,34388,1,BID,GTC,398
FILL,PLACE_ORDER,134,40000,34429,51,ASK,GTC,572
FILL,PLACE_ORDER,135,40000,34499,1,ASK,GTC,693
FILL,PLACE_ORDER,136,40000,34408,1,ASK,GTC,959
FILL,PLACE_ORDER,137,40000,34327,1,BID,GTC,204
FILL,PLACE_ORDER,138,40000,34337,11,BID,GTC,985
FILL,PLACE_ORDER,139,40000,34387,1,BID,GTC,708
FILL,PLACE_ORDER,140,40000,34394,2,ASK,GTC,769
FILL,PLACE_ORDER,141,40000,34463,7,ASK,GTC,543
FILL,PLACE_ORDER,142,40000,34688,65,ASK,GTC,628
FILL,PLACE_ORDER,143,40000,34514,13,ASK,GTC,129
FILL,PLACE_ORDER,144,40000,34259,1,BID,GTC,419
FILL,PLACE_ORDER,145,40000,34521,2,ASK,GTC,230
FILL,PLACE_ORDER,146,40000,34225,25,BID,GTC,33
FILL,PLACE_ORDER,147,40000,34385,13,BID,GTC,390
FILL,PLACE_ORDER,148,40000,34406,1,ASK,GTC,29
FILL,PLACE_ORDER,149,40000,34415,1,ASK,GTC,9
FILL,PLACE_ORDER,150,40000,34388,1,BID,GTC,279
FILL,PLACE_ORDER,151,40000,34413,1,ASK,GTC,257
FILL,PLACE_ORDER,152,40000,34390,21,ASK,GTC,87
FILL,PLACE_ORDER,153,40000,34325,1,BID,GTC,860
FILL,PLACE_ORDER,154,40000,34081,1,BID,GTC,676
FILL,PLACE_ORDER,155,40000,34182,3,BID,GTC,363
FILL,PLACE_ORDER,156,40000,34142,7,BID,GTC,439
FILL,PLACE_ORDER,157,40000,34388,13,BID,GTC,168
FILL,PLACE_ORDER,158,40000,34487,1,ASK,GTC,526
FILL,PLACE_ORDER,159,40000,34391,49,ASK,GTC,624
