uid,currencies
1,
2,840;978
3,840;978
4,840;978
5,840;978
6,840;978
7,840;978
8,840;978
9,840;978
10,840;978
11,840;978
12,840;978
13,840;978
14,840;978
15,840;978
16,840;978
17,840;978
18,840;978
19,840;978
20,840;978
21,840;978
22,840;978
23,840;978
24,840;978
25,840;978
26,840;978
27,840;978
28,840;978
29,840;978
30,840;978
31,840;978
32,840;978
33,840;978
34,840;978
35,840;978
36,840;978
37,840;978
38,840;978
39,840;978
40,840;978
41,840;978
42,840;978
43,840;978
44,840;978
45,840;978
46,840;978
47,840;978
48,840;978
49,840;978
50,840;978
51,840;978
52,840;978
53,840;978
54,840;978
55,840;978
56,840;978
57,840;978
58,840;978
59,840;978
60,840;978
61,840;978
62,840;978
63,840;978
64,840;978
65,840;978
66,840;978
67,840;978
68,840;978
69,840;978
70,840;978
71,840;978
72,840;978
73,840;978
74,840;978
75,840;978
76,840;978
77,840;978
78,840;978
79,840;978
80,840;978
81,840;978
82,840;978
83,840;978
84,840;978
85,840;978
86,840;978
87,840;978
88,840;978
89,840;978
90,840;978
91,840;978
92,840;978
93,840;978
94,840;978
95,840;978
96,840;978
97,840;978
98,840;978
99,840;978
100,840;978
101,840;978
102,840;978
103,840;978
104,840;978
105,840;978
106,840;978
107,840;978
108,840;978
109,840;978
110,840;978
111,840;978
112,840;978
113,840;978
114,840;978
115,840;978
116,840;978
117,840;978
118,840;978
119,840;978
120,840;978
121,840;978
122,840;978
123,840;978
124,840;978
125,840;978
126,840;978
127,840;978
128,840;978
129,840;978
130,840;978
131,840;978
132,840;978
133,840;978
134,840;978
135,840;978
136,840;978
137,840;978
138,840;978
139,840;978
140,840;978
141,840;978
142,840;978
143,840;978
144,840;978
145,840;978
146,840;978
147,840;978
148,840;978
149,840;978
150,840;978
151,840;978
152,840;978
153,840;978
154,840;978
155,840;978
156,840;978
157,840;978
158,840;978
159,840;978
160,840;978
161,840;978
162,840;978
163,840;978
164,840;978
165,840;978
166,840;978
167,840;978
168,840;978
169,840;978
170,840;978
171,840;978
172,840;978
173,840;978
174,840;978
175,840;978
176,840;978
177,840;978
178,840;978
179,840;978
180,840;978
181,840;978
182,840;978
183,840;978
184,840;978
185,840;978
186,840;978
187,840;978
188,840;978
189,840;978
190,840;978
191,840;978
192,840;978
193,840;978
194,840;978
195,840;978
196,840;978
197,840;978
198,840;978
199,840;978
200,840;978
201,840;978
202,840;978
203,840;978
204,840;978
205,840;978
206,840;978
207,840;978
208,840;978
209,840;978
210,840;978
211,840;978
212,840;978
213,840;978
214,840;978
215,840;978
216,840;978
217,840;978
218,840;978
219,840;978
220,840;978
221,840;978
222,840;978
223,840;978
224,840;978
225,840;978
226,840;978
227,840;978
228,840;978
229,840;978
230,840;978
231,840;978
232,840;978
233,840;978
234,840;978
235,840;978
236,840;978
237,840;978
238,840;978
239,840;978
240,840;978
241,840;978
242,840;978
243,840;978
244,840;978
245,840;978
246,840;978
247,840;978
248,840;978
249,840;978
250,840;978
251,840;978
252,840;978
253,840;978
254,840;978
255,840;978
