order_id,user_id,side,price,qty
1,655,buy,84907.12,0.39
2,96,buy,84970.07,0.01
3,559,buy,84893.80,0.02
4,285,buy,84872.29,0.95
5,827,buy,84942.93,0.02
6,907,sell,85330.35,0.02
7,297,sell,85532.87,0.06
8,855,buy,84916.98,0.27
9,176,sell,84892.72,0.19
10,333,sell,85085.76,0.02
11,275,buy,84763.39,0.20
12,512,buy,84820.35,0.04
13,575,sell,85162.07,0.14
14,142,sell,84989.98,0.01
15,812,sell,85143.29,0.16
16,258,sell,85022.37,0.60
17,550,sell,85125.45,0.05
18,4,sell,85097.38,0.10
19,935,buy,84506.96,0.10
20,383,sell,85403.94,0.34
21,60,buy,84956.01,2.56
22,779,sell,84814.91,0.12
23,988,buy,84643.12,0.03
24,688,sell,85205.30,0.03
25,347,buy,84750.55,0.02
26,527,buy,84915.45,0.14
27,804,buy,84951.67,0.19
28,421,buy,84691.61,0.07
29,883,buy,85128.82,0.03
30,474,buy,84827.65,0.79
31,52,sell,85023.22,0.03
32,493,buy,84961.52,0.01
33,466,buy,84642.58,0.86
34,499,buy,85587.12,0.16
35,766,buy,85108.30,1.00
36,59,sell,84963.23,0.21
37,241,buy,84761.91,0.12
38,84,buy,84788.29,0.41
39,734,buy,85022.03,0.20
40,952,sell,84893.97,0.02
41,272,buy,84958.76,0.04
42,449,sell,85260.63,0.02
43,962,sell,84623.39,0.21
44,289,sell,85077.48,0.16
45,501,buy,84963.64,0.76
46,46,buy,84718.45,0.01
47,565,sell,85049.68,0.05
48,441,buy,84392.37,0.37
49,256,sell,85228.71,0.04
50,820,sell,85025.83,0.25
51,954,buy,84638.24,0.05
52,719,buy,84478.13,0.00
53,472,buy,84454.08,0.01
54,409,buy,84107.94,0.02
55,410,sell,85121.99,0.02
56,272,buy,84868.77,0.37
57,524,buy,84923.17,0.01
58,533,sell,85343.51,0.66
59,373,buy,84330.41,0.26
60,128,sell,85113.78,0.07
61,303,sell,84812.30,0.03
62,179,sell,85221.88,0.07
63,671,buy,84689.84,0.11
64,983,sell,84983.12,0.11
65,344,buy,84908.67,0.01
66,151,buy,85107.76,0.06
67,200,sell,85149.54,0.01
68,915,sell,85048.17,0.08
69,981,sell,85227.28,0.02
70,544,sell,85783.53,1.35
71,737,sell,85624.68,0.08
72,883,buy,85046.46,0.45
73,534,buy,85096.71,0.21
74,344,buy,84938.95,0.01
75,724,buy,84874.47,0.09
76,853,buy,84753.23,3.35
77,784,sell,85748.76,0.04
78,914,sell,85370.41,0.13
79,226,buy,85111.20,0.04
80,818,buy,85105.27,0.01
81,28,sell,85296.78,0.02
82,888,buy,85079.20,0.03
83,780,sell,84484.77,0.03
84,482,buy,83276.97,0.03
85,800,sell,84992.82,0.00
86,637,buy,85186.37,0.12
87,717,buy,84739.50,0.24
88,319,buy,85061.74,0.04
89,78,sell,85090.37,0.21
90,701,sell,84296.86,0.30
91,439,sell,84820.90,0.01
92,502,buy,84719.52,1.80
93,446,buy,84708.90,4.09
94,794,buy,84642.09,0.00
95,851,sell,84896.30,0.45
96,685,buy,85321.77,0.04
97,817,buy,85152.32,0.90
98,530,sell,84781.73,0.09
99,708,buy,84825.33,0.02
100,415,sell,85241.58,0.09
101,436,sell,85129.99,0.08
102,237,buy,85019.82,0.15
103,190,buy,84894.40,0.26
104,612,buy,85034.87,0.04
105,15,sell,84990.26,0.02
106,967,buy,84804.79,0.95
107,481,buy,84118.43,0.10
108,703,buy,85138.84,0.37
109,232,sell,85629.24,0.03
110,440,buy,84737.07,0.04
111,677,buy,85134.68,0.02
112,706,sell,84953.42,0.60
113,465,buy,85050.42,0.62
114,824,sell,85219.98,6.33
115,847,buy,85265.63,0.40
116,944,buy,85196.55,0.10
117,83,sell,85357.62,0.13
118,235,sell,85237.74,0.18
119,42,sell,84873.77,0.08
120,600,buy,84090.68,0.09
121,329,sell,85121.47,0.20
122,968,buy,84967.40,0.02
123,119,sell,85203.73,0.12
124,193,sell,85195.41,0.09
125,274,sell,85166.42,0.18
126,997,sell,85334.89,0.07
127,862,sell,85051.29,0.55
128,734,buy,84840.00,0.09
129,468,sell,85669.50,0.12
130,885,buy,84485.56,0.01
131,274,sell,84937.90,0.10
132,552,buy,84609.95,0.00
133,891,buy,84760.65,0.00
134,45,buy,84353.01,0.87
135,156,buy,85116.79,0.59
136,896,sell,84588.00,0.02
137,408,sell,85507.20,0.44
138,325,sell,85190.10,0.13
139,241,sell,86539.77,0.31
140,101,sell,85046.44,0.03
141,30,buy,84888.38,0.07
142,544,buy,84926.31,0.01
143,392,sell,84583.41,0.02
144,261,buy,84392.55,0.09
145,560,buy,84868.82,0.19
146,435,sell,85111.15,0.02
147,368,sell,85108.65,0.03
148,703,sell,85635.20,4.36
149,925,buy,84738.74,0.04
150,636,buy,84604.96,0.17
151,100,sell,85113.65,0.07
152,750,buy,84876.06,0.08
153,806,sell,85212.42,0.00
154,494,sell,84650.83,0.44
155,78,buy,84475.33,0.02
156,15,buy,85076.34,0.24
157,391,sell,85048.67,0.95
158,938,sell,85276.71,0.07
159,665,buy,85495.19,0.04
160,100,buy,84851.45,0.30
161,602,sell,84907.07,0.01
162,418,sell,84798.93,0.03
163,242,sell,84801.44,10.00
164,368,buy,85584.41,0.03
165,655,sell,84735.45,0.05
166,579,buy,84770.92,0.33
167,239,buy,85390.52,0.03
168,257,sell,84655.93,0.02
169,808,buy,84928.11,0.13
170,488,buy,84747.29,0.09
171,630,buy,84462.54,0.11
172,988,buy,84497.73,0.08
173,730,sell,84983.86,0.13
174,282,sell,85336.98,0.05
175,302,buy,84950.30,3.40
176,667,sell,85530.98,0.02
177,424,buy,84839.78,0.02
178,682,buy,84680.89,0.09
179,88,buy,85226.39,0.61
180,601,sell,85302.14,0.02
181,964,sell,85345.00,0.04
182,218,buy,84497.77,0.04
183,118,sell,85439.20,0.83
184,659,sell,85292.90,0.17
185,280,sell,85125.32,0.13
186,146,sell,85043.97,0.11
187,465,buy,84650.87,0.52
188,87,sell,84759.47,0.08
189,622,buy,85237.24,0.02
190,291,sell,85210.30,0.05
191,614,buy,85492.25,1.85
192,297,buy,85231.83,0.03
193,721,buy,84695.73,0.05
194,760,buy,85430.03,0.90
195,588,buy,84889.77,0.07
196,371,buy,84905.83,0.16
197,406,sell,85083.30,0.22
198,649,buy,84374.21,0.02
199,839,sell,84979.74,0.05
200,157,sell,85069.15,0.40
201,773,sell,85310.88,1.57
202,640,buy,84880.03,0.07
203,647,buy,85008.01,0.10
204,463,buy,84890.64,0.01
205,394,buy,84576.76,0.64
206,830,sell,84840.27,0.11
207,462,buy,84869.64,0.30
208,177,buy,83776.17,0.12
209,373,buy,85087.52,0.04
210,809,sell,85121.43,0.13
211,259,sell,85623.28,0.42
212,597,sell,85114.13,0.33
213,133,sell,85113.89,0.02
214,833,buy,84227.37,0.10
215,317,buy,85499.69,0.10
216,141,buy,85261.97,0.10
217,757,sell,84928.37,0.22
218,386,buy,85198.84,2.70
219,739,buy,84689.26,0.03
220,292,sell,85087.40,0.01
221,585,sell,85103.82,0.05
222,990,buy,85155.94,0.09
223,957,buy,84491.18,0.01
224,280,buy,84523.52,0.66
225,406,sell,84148.20,0.07
226,954,buy,84872.79,0.77
227,852,buy,84825.13,0.00
228,562,sell,85159.77,0.25
229,125,buy,84574.19,0.09
230,927,buy,84722.05,0.20
231,299,buy,84906.76,0.05
232,88,sell,85801.30,0.17
233,520,sell,85181.38,0.31
234,751,sell,84849.94,0.21
235,361,sell,85068.51,0.38
236,713,buy,85022.80,0.05
237,408,sell,85093.92,0.22
238,366,sell,84816.91,0.01
239,448,sell,85593.26,0.10
240,947,sell,84983.52,0.07
241,843,buy,85016.58,0.05
242,457,sell,85317.88,0.07
243,891,sell,85164.99,0.56
244,59,buy,84861.81,1.12
245,976,buy,84687.90,0.08
246,242,sell,85142.50,0.15
247,696,buy,84827.28,0.06
248,286,buy,85224.37,0.10
249,576,buy,84666.47,0.02
250,711,sell,85052.79,0.52
251,921,sell,85443.60,0.44
252,564,sell,85505.51,0.56
253,521,buy,84576.45,0.03
254,370,sell,85434.54,0.14
255,89,buy,84655.11,0.09
256,420,sell,84388.03,0.19
257,697,sell,84697.90,0.14
258,787,sell,85635.47,0.03
259,331,sell,84497.26,0.11
260,81,buy,84772.84,0.03
261,547,buy,84748.45,0.13
262,640,sell,85490.79,0.26
263,30,buy,84601.03,0.05
264,586,buy,84801.18,0.16
265,980,buy,85278.14,0.06
266,706,buy,84808.09,0.01
267,321,sell,86147.73,0.05
268,779,buy,84878.92,0.09
269,254,buy,85492.43,0.50
270,986,sell,84930.75,0.13
271,782,buy,84816.57,0.70
272,93,sell,85886.87,0.03
273,52,buy,84505.05,0.19
274,9,sell,85565.36,1.19
275,375,buy,85138.45,0.06
276,396,sell,85103.10,0.03
277,348,sell,85059.16,0.16
278,42,buy,85067.03,0.09
279,621,sell,84542.76,0.05
280,632,sell,84928.47,0.61
281,726,sell,85023.71,0.06
282,427,sell,85348.92,0.01
283,802,sell,85085.26,0.01
284,537,sell,85488.59,0.01
285,33,sell,85073.41,0.08
286,423,sell,85399.76,0.19
287,142,sell,86620.29,0.09
288,980,buy,84870.08,0.02
289,739,sell,85097.72,0.04
290,286,sell,84384.73,0.05
291,213,sell,85186.08,1.08
292,739,buy,85190.09,0.30
293,295,sell,84560.07,0.49
294,220,buy,84287.57,0.18
295,631,sell,84989.32,0.38
296,239,buy,84654.73,0.64
297,958,sell,85287.52,0.25
298,293,sell,85043.33,0.15
299,741,sell,84565.66,0.03
300,957,sell,85148.41,0.08
301,986,sell,84991.69,0.03
302,951,sell,84229.98,0.12
303,962,buy,84895.69,0.33
304,749,buy,85033.21,1.84
305,582,sell,84837.69,0.18
306,438,sell,84810.09,0.04
307,332,sell,84915.93,0.08
308,338,buy,84974.00,0.36
309,64,sell,85063.80,0.39
310,964,buy,84913.86,0.03
311,766,sell,85328.09,0.82
312,611,sell,84897.55,0.18
313,578,buy,84382.31,0.02
314,169,buy,84945.42,0.02
315,94,sell,85034.03,0.02
316,578,buy,84557.56,0.26
317,837,buy,85011.07,0.05
318,555,sell,85037.67,0.04
319,785,sell,85865.56,0.01
320,460,sell,85139.54,0.40
321,553,buy,84944.73,0.81
322,131,sell,84997.59,0.02
323,690,sell,85141.03,0.03
324,159,buy,84647.71,0.04
325,905,sell,84986.34,0.15
326,689,sell,84768.83,0.07
327,223,sell,85057.93,1.25
328,592,sell,85118.02,0.06
329,677,sell,85101.49,0.14
330,753,sell,85161.52,0.07
331,965,sell,85208.97,0.23
332,308,buy,84813.34,0.36
333,725,buy,84961.80,0.07
334,543,buy,85036.82,0.20
335,275,buy,84966.64,0.20
336,223,buy,84873.68,0.09
337,619,sell,85089.18,0.05
338,478,sell,85096.75,0.11
339,101,sell,85385.07,0.06
340,321,buy,84913.16,0.03
341,958,sell,85108.63,0.04
342,584,sell,85290.51,0.19
343,842,buy,84633.83,0.07
344,361,buy,84806.07,1.04
345,658,sell,85485.25,0.01
346,70,sell,84878.39,0.04
347,683,sell,85293.98,0.08
348,740,buy,84972.52,1.18
349,826,sell,84572.91,0.11
350,635,sell,85098.75,0.07
351,416,buy,85201.29,0.01
352,83,sell,85382.90,0.02
353,566,buy,84667.49,0.17
354,879,sell,85660.79,0.31
355,278,buy,85439.85,1.05
356,34,buy,84972.91,0.04
357,841,sell,85039.84,0.03
358,855,sell,85217.75,0.03
359,810,sell,85196.58,0.04
360,349,sell,85250.29,0.60
361,650,buy,84804.93,0.06
362,677,buy,84887.66,0.05
363,275,buy,84720.70,0.25
364,110,buy,84826.91,0.21
365,90,buy,84770.61,0.08
366,363,sell,85410.72,0.04
367,743,sell,85994.68,0.12
368,390,buy,85051.31,0.03
369,283,buy,84956.52,0.04
370,641,buy,84820.81,0.02
371,390,sell,85123.36,0.03
372,988,buy,84638.41,0.29
373,288,sell,85050.26,0.15
374,559,buy,84969.97,0.00
375,852,sell,85424.35,0.06
376,649,buy,85026.64,0.07
377,460,sell,85150.03,0.12
378,709,buy,85585.60,1.59
379,609,sell,84749.11,0.19
380,663,sell,85283.53,0.01
381,109,buy,85119.68,0.11
382,590,buy,84818.36,0.44
383,155,buy,85016.95,0.03
384,467,sell,85128.61,0.09
385,46,sell,84676.60,0.33
386,169,sell,85204.47,0.12
387,437,sell,84909.90,0.01
388,443,buy,84429.61,0.08
389,5,sell,84760.93,0.03
390,469,buy,84805.49,0.57
391,398,sell,85128.46,1.02
392,834,sell,85659.31,0.20
393,321,buy,84925.38,0.28
394,429,sell,85159.67,0.09
395,942,sell,85225.84,0.10
396,323,sell,85531.04,0.95
397,200,sell,85198.97,0.10
398,426,sell,85066.10,0.23
399,226,buy,85129.31,0.02
400,761,sell,85201.75,0.13
401,557,sell,85460.42,0.25
402,34,buy,84544.26,0.25
403,831,sell,85522.69,0.16
404,631,buy,85037.59,0.02
405,288,sell,84341.44,0.03
